category_id,category,current_assessment,evidence_for,evidence_against,remaining_test,next_action,stop_condition
A,Code/loading failure,mostly_ruled_out,"Early no-change could have looked like fallback","Strict keys matched; Exp36 perturbation changed outputs; checkpoints loaded","Official reproduction and checkpoint/protocol audit","Audit official MiniMax protocol before new training","If mismatch shows checkpoint not loaded, stop DPO rescue until fixed"
B,Adapter ignored by inference,ruled_out,"Old Step10 changes were visually tiny","Exp36 identity/perturbation test proves inference responds to trained weights","Repeat sensitivity for any new adapter scope","Include adapter-scale and roundtrip checks","If new scope is ignored, stop and fix loader"
C,Trainable scope too weak,unresolved_not_primary,"S1 LoRA may be too weak; full updates can be diffuse","Exp30/35 used full transformer scope","Scope v2 and train-overfit tests","Test scope after protocol and positive-control","If train videos still do not improve under stronger scope, shift to objective/data"
D,LR/update scale too weak,partially_supported,"Exp30 utility near 0.5 and movement sub-perceptual","High LR moved outputs but introduced artifacts; Exp37 R1 moved metrics","Train-overfit ladder","Calibrate on train-overfit before heldout DPO","If train does not visibly improve, do not proceed to heldout DPO"
E,Objective signal too weak,strongly_supported,"Exp37 diagnosed objective signal too weak; R1 only 1/16 visibly better","R1 had some positive mask/full metric movement","Train-overfit diagnosis and SFT warmup ladder","Design staged local residual objective","If objective cannot improve train videos, stop DPO recipes"
F,Bad-noise/timestep not aligned,unresolved,"Exp37 hard states were outside-sane but lower-gradient than random baseline","Bad-noise scan produced valid states and R1 got some signal","Bad-noise v2 gradient-strength scan","Verify hard-state local gradient advantage","If hard states are not useful, do not center recipe on bad-noise"
G,Data too diverse/noisy,plausible,"MiniMax official candidates had low yield; broad Gate64 mixes defects","Exp37 LocalDPO pool was clean but still insufficient","LocalDPO v2 if justified","Build stronger balanced pool after diagnosis","If cleaner data cannot improve train videos, data is not sufficient"
H,LocalDPO corruption too weak,plausible,"Exp37 R1 only one visible improvement; many ties","Pool had medium-hard/hard-plausible rows and no collapse","LocalDPO v2 stronger bounded profiles","Increase local/effect difficulty with outside preservation","Reject pool if it becomes trivial-bad or outside-damaging"
I,Generalization failure,not_primary_yet,"Heldout does not improve","Exp37 train-vs-heldout found train does not meaningfully improve either","Evaluate best checkpoints on train16/train32/heldout16","Diagnose train vs heldout before new objective","If train improves but heldout fails, scale/diversify data"
J,Evaluation too insensitive,partly_possible,"Metric deltas are tiny and visual ties dominate","Pixel/metric movement is measurable and visual review catches artifacts","Add train-overfit visual and local/effect residual metrics","Keep metrics plus per-video review","Invisible metric gains do not permit promotion"

